   HSSA #1 - RH 131,,RH131 (or H or S or L if Exempt)
   HSSA #2  ,,Humanities & Arts (H)
   HSSA #3  ,,Social Sciences (S)
   HSSA #4  ,,H or S or Language (L)
   HSSA #5  ,,H or S or L
   HSSA #6  ,,H or S or L
   HSSA #7  ,,H or S or L
   HSSA #8  ,,H or S (cannot be a language)
   HSSA #9 - RH 330,,Tech & Profiessional Communications
   RHIT 100,,Foundations for Rose-Hulman Success
   CHEM 111,,"Chemistry I    (Lect @ 3, Lab @ 1)"
   ECE 233,,Introduction to Digital Systems
   ECE 332,,Computer Architecture II
   MA 111,,Calculus I
   MA 112,,Calculus II
   MA 113,,Calculus III
   MA 221,,Matrix Algebra & Diff Equations
   MA 276,,Introduction to Proofs
   MA 374,,Combinatorics
   MA 381,,Intro to Probability w/ App to Stats
   PH 111,,Physics I
   PH 112,,Physics II
   CSSE 120,,Intro to Software Development
   CSSE 132,,Introduction to Computer Systems
   CSSE 220,,Object Oriented Software Develpmnt
   CSSE 230,,Data Structures & Algorithm Anlsys
   CSSE 232,,Computer Architecture I
   CSSE 280,,Intro to Web Programming
   CSSE 304,,Programming Language Concepts
   CSSE 332,,Operating Systems
   CSSE 333,,Database Systems
   CSSE 371,,Software Requirements Engineering
   CSSE 374,,Software Design
   CSSE 473 (or MA),,Design & Analysis of Algorithms
   CSSE 474 (or MA),,Theory of Computation
"  CSSE 487,494 or 497",,"SR Research, Thesis or Capstone I"
"  CSSE 488,495 or 498",,"SR Research, Thesis or Capstone II"
"  CSSE 489,496 or 499",,"SR Research, Thesis or Capstone III"
   CSSE _________,,
   CSSE _________,,
   CSSE _________,,
Technical Elective #1,,
Science Elective #1,,
Free Elective #1,,
Free Elective #2,,
Free Elective #3,,
Free Elective #4,,
Free Elective #5,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
